,title,price,url,website
84,DESONIDA POMADA TUBO 30G - GERMED - GENÉRICO,"R$14,60",https://www.ultrafarma.com.br/novacort-pomada-com-30g,ultrafarma
85,CETRILAN CREME TUBO THERASKIN 40G,"R$18,70",https://www.ultrafarma.com.br/cetrilan-creme-tubo-com-40g,ultrafarma
86,BETNOVATE POMADA 30G,"R$35,24",https://www.ultrafarma.com.br/esperson-pomada-com-20g,ultrafarma
87,ESPERSON POMADA 20G,"R$42,66",https://www.ultrafarma.com.br/pomada-de-belladona-officinalis-com-25g,ultrafarma
88,DEXPANTENOL BEPANDEX BABY CREME 30G,"R$12,54",https://www.ultrafarma.com.br/diprosalic-pomada-com-30g,ultrafarma
89,GELO-BIO POMADA 20G,"R$12,07",https://www.ultrafarma.com.br/dermodex-tratamento-pomada-com-60g,ultrafarma
90,VICK VAPORUB POMADA 50G,"R$43,90",https://www.ultrafarma.com.br/creme-preventivo-de-assaduras-baby-90g,ultrafarma
91,POSTEC POMADA 20G,"R$120,76",https://www.ultrafarma.com.br/dermodex-prevent-creme-120g-40-na-segunda-unidade,ultrafarma
92,TOPISON POMADA 20G,"R$59,13",https://www.ultrafarma.com.br/lidocaina-pomada-com-25-g-ems-generico,ultrafarma
93,POMADA PARA PREVENÇÃO DE ASSADURAS GERIADERM 120G,"R$31,12",https://www.ultrafarma.com.br/nistatina-oxido-de-zinco-alivbaby-20g,ultrafarma
94,"DRENISON POMADA 0,125MG 30G","R$38,56",https://www.ultrafarma.com.br/pomada-mamylan-com-30g,ultrafarma
95,MUD POMADA ORAL 10G,"R$18,59",https://www.ultrafarma.com.br/daivobet-pomada-com-30g,ultrafarma
96,DAIVOBET POMADA 30G,"R$131,51",https://www.ultrafarma.com.br/neomicina-bacitracina-ferid-pomada-10g,ultrafarma
97,DEXPANTENOL BEPANDEX BABY CREME 60G,"R$16,20",https://www.ultrafarma.com.br/oleo-para-prevencao-de-assaduras-dersani-baby-com-50ml,ultrafarma
98,POMADA MAMYLAN 30G,"R$39,48",https://www.ultrafarma.com.br/trok-pomada-com-30g,ultrafarma
99,DAIVONEX POMADA 30G,"R$108,51",https://www.ultrafarma.com.br/gelol-pomada-com-20g,ultrafarma
100,CREME PREVENTIVO DE ASSADURAS BABY 90G,"R$15,34",https://www.ultrafarma.com.br/dexprotenol-pomada-dermatologica-30g,ultrafarma
101,MASSAGEOL POMADA 30G,"R$10,69",https://www.ultrafarma.com.br/ultraproct-ldo-creme-com-30g,ultrafarma
102,DERMODEX PREVENT CREME 60G 40% NA SEGUNDA UNIDADE,"R$42,32",https://www.ultrafarma.com.br/vick-vaporub-pomada-com-50g,ultrafarma
103,CREME PARA PREVENÇÃO DE ASSADURAS GERIADERM A.G.E. 120G,"R$46,46",https://www.ultrafarma.com.br/dexpantenol-bepandex-baby-creme-60g,ultrafarma
104,NEOMICINA + BACITRACINA - FERID POMADA 10G,"R$9,36",https://www.ultrafarma.com.br/massageol-pomada-30g,ultrafarma
